t,com_x,com_y,com_z,vel_x,vel_y,speed,cp_x,cp_y,cp_margin,roll,pitch,yaw,tilt,lf_x,lf_y,lf_z,rf_x,rf_y,rf_z,left_contact,right_contact,state
0.075,-0.006929342758097159,0.0018800417307154667,0.23238430514317557,0.09110776723904687,-0.0029370523965266933,0.09115509600710367,0.007093120039959961,0.0014279978576812347,-0.009648770698910833,-0.00023601558361285442,-0.007315434849798696,0.00016263882402964953,0.007315434849798696,-0.013176152631754444,0.03707676855659207,0.030641620384613683,-0.013156318189038965,-0.03342246625616484,0.030656147123371363,1,0,ANKLE_RECOVER
0.08,-0.006605669833766221,0.0018751797159962938,0.23232794162484452,0.020326789175041816,-0.0020562583400393184,0.02043053001093164,-0.00347753833485298,0.0015587378801515132,0.04073080617297549,2.279779897812197e-05,-0.004634022973272404,-0.000334170960635496,0.004634022973272404,-0.012866128400434121,0.03712686709898756,0.03029320586348079,-0.012729321944886865,-0.03337377159887675,0.030162410924869057,0,0,STAND
0.085,-0.0063043195028518,0.0018595436563124542,0.23236708187847552,0.0820604722819363,-0.0008708538998094826,0.08206509305209646,0.006325199493165487,0.0017255148655371342,0.031063850013100167,0.0001094868093552153,-0.004348963157385823,0.0007999677798089801,0.004348963157385823,-0.012672836805001586,0.037127068762381116,0.030230686114935415,-0.012601756289090313,-0.03337868642839063,0.03017755552569712,1,1,STAND
0.09,-0.00601315892056512,0.001807756067935514,0.23254994088602798,0.028706870887191135,-0.013060704440344493,0.031538332812815206,-0.0015932891927785643,-0.00020314273069333322,0.03906831295789249,-0.0004600000539390368,-0.002102921326777349,0.0027945674730458932,0.002102921326777349,-0.012532769418764265,0.036955435272647684,0.030229595318413557,-0.01252406986401168,-0.03354598576269346,0.030357769342648555,1,1,STAND
0.095,-0.005721366709648817,0.0017395142363760855,0.23289729356100386,0.060329933789979376,-0.011394758197954248,0.06139659131819242,0.0035743004688994886,-1.61959581179592e-05,0.034148134413029566,-0.0005170730426510938,-0.002359675882446524,0.0020207989834196867,0.002359675882446524,-0.012387622961524125,0.03686917841728021,0.03064089120871244,-0.012264180017207603,-0.03363070656559664,0.030680234979362994,0,0,STAND
0.1,-0.0054124514314178975,0.0016684143101699939,0.23303576491426872,0.05921211809996016,-0.013078437735998635,0.06063926503098485,0.0037136939416994646,-0.00034731706141334683,0.03433771985137775,-0.0005791560470371857,-0.0023415257787238863,0.0016740847104447132,0.0023415257787238863,-0.0120500165603672,0.036791033282041787,0.030781968342438557,-0.011936710511764217,-0.033708873768480835,0.03082248140164899,0,0,STAND
0.105,-0.005103492084867209,0.0015973784967532882,0.2329292391322877,0.06138017176561273,-0.013343615883611513,0.06281383263920051,0.0043546449005790215,-0.000458753691835317,0.03401820626491063,-0.000634728818084571,-0.0024245263650542396,0.001233549741077449,0.0024245263650542396,-0.011708070023440445,0.03671217069894979,0.03067437154467191,-0.011617729300160057,-0.03378775659835487,0.030718730491579888,0,0,STAND
0.11,-0.004794539690362519,0.0015263705870118332,0.23257789919611355,0.06534192925827367,-0.013234184485993394,0.06666866848979773,0.00526647240504039,-0.0005113606477070059,-0.011144222729185617,-0.0006757963334926993,-0.0025251726596184584,0.0007440978533513963,0.0025251726596184584,-0.011366287826261784,0.03663286208147861,0.03032200236874015,-0.011307391429626813,-0.03386709691774765,0.030370274782729925,1,0,ANKLE_RECOVER
0.115,-0.004479134243773897,0.0014458981552464517,0.23231069147598565,0.06342858390495948,-0.016932201873426565,0.06564971223448701,0.00528165893434268,-0.0011597365659113722,0.033298645504549446,-0.0005225907887773655,-0.002907446580794281,0.0008643999913107831,0.002907446580794281,-0.011530888418152557,0.036580701591098025,0.030545688830620643,-0.011407848352101513,-0.03391890342086514,0.030531776058334306,0,0,STAND
0.12,-0.004210568859067937,0.0013742743606195687,0.23220048214789962,0.05504613623300856,-0.015496158469657509,0.057185732849196536,0.004258270509500888,-0.0010098071733486895,0.03453630419602423,-0.0003440865124873901,0.00040084725874284287,0.0010347223447656662,0.00040084725874284287,-0.011329049806321781,0.03656038870648687,0.02997563329792617,-0.011191838791626892,-0.033958967047763806,0.02998312091866885,1,1,STAND
