t,kind,detail,fx,fy,com_x,com_y
0.9445,state,ANKLE_RECOVER,,,,
0.9455,state,STAND,,,,
0.949,state,ANKLE_RECOVER,,,,
0.9495,state,STAND,,,,
0.9525,state,ANKLE_RECOVER,,,,
0.953,state,STAND,,,,
0.9585,state,ANKLE_RECOVER,,,,
0.959,state,STAND,,,,
0.966,state,ANKLE_RECOVER,,,,
0.967,state,STAND,,,,
0.969,state,ANKLE_RECOVER,,,,
0.97,state,STAND,,,,
0.9735,state,ANKLE_RECOVER,,,,
0.974,state,STAND,,,,
0.9785,state,ANKLE_RECOVER,,,,
0.9795,state,STAND,,,,
0.9825,state,ANKLE_RECOVER,,,,
0.983,state,STAND,,,,
0.993,state,ANKLE_RECOVER,,,,
0.9935,state,STAND,,,,
1.001,state,ANKLE_RECOVER,,,,
1.0015,state,STAND,,,,
1.005,state,ANKLE_RECOVER,,,,
1.006,state,STAND,,,,
1.019,state,ANKLE_RECOVER,,,,
1.0195,state,STAND,,,,
1.038,state,ANKLE_RECOVER,,,,
1.0385,state,STAND,,,,
1.04,state,ANKLE_RECOVER,,,,
1.0405,state,STAND,,,,
1.0445,state,ANKLE_RECOVER,,,,
1.045,state,STAND,,,,
1.0485,state,ANKLE_RECOVER,,,,
1.049,state,STAND,,,,
1.071,state,ANKLE_RECOVER,,,,
1.072,state,STAND,,,,
1.078,state,ANKLE_RECOVER,,,,
1.0785,state,STAND,,,,
1.082,state,ANKLE_RECOVER,,,,
1.083,state,STAND,,,,
1.1,state,ANKLE_RECOVER,,,,
1.1005,state,STAND,,,,
1.1015,state,ANKLE_RECOVER,,,,
1.102,state,STAND,,,,
1.104,state,ANKLE_RECOVER,,,,
1.1045,state,STAND,,,,
1.106,state,ANKLE_RECOVER,,,,
1.1065,state,STAND,,,,
1.117,state,ANKLE_RECOVER,,,,
1.118,state,STAND,,,,
1.1455,state,ANKLE_RECOVER,,,,
1.146,state,STAND,,,,
1.154,state,ANKLE_RECOVER,,,,
1.1545,state,STAND,,,,
1.1555,state,ANKLE_RECOVER,,,,
1.156,state,STAND,,,,
1.1785,state,ANKLE_RECOVER,,,,
1.179,state,STAND,,,,
1.1925,state,ANKLE_RECOVER,,,,
1.1935,state,STAND,,,,
1.194,state,ANKLE_RECOVER,,,,
1.1945,state,STAND,,,,
1.228,state,ANKLE_RECOVER,,,,
1.2285,state,STAND,,,,
1.266,state,ANKLE_RECOVER,,,,
1.2665,state,STAND,,,,
1.268,state,ANKLE_RECOVER,,,,
1.2685,state,STAND,,,,
1.2755,state,ANKLE_RECOVER,,,,
1.2765,state,STAND,,,,
1.305,state,ANKLE_RECOVER,,,,
1.3055,state,STAND,,,,
1.316,state,ANKLE_RECOVER,,,,
1.3165,state,STAND,,,,
1.32,state,ANKLE_RECOVER,,,,
1.3205,state,STAND,,,,
1.341,state,ANKLE_RECOVER,,,,
1.3415,state,STAND,,,,
1.379,state,ANKLE_RECOVER,,,,
1.3795,state,STAND,,,,
1.434,state,ANKLE_RECOVER,,,,
1.4345,state,STAND,,,,
1.44,state,ANKLE_RECOVER,,,,
1.4405,state,STAND,,,,
1.446,state,ANKLE_RECOVER,,,,
1.4495,state,STAND,,,,
1.452,state,ANKLE_RECOVER,,,,
1.4525,state,STAND,,,,
1.453,state,ANKLE_RECOVER,,,,
1.4535,state,STAND,,,,
1.4685,state,ANKLE_RECOVER,,,,
1.469,state,STAND,,,,
1.473,state,ANKLE_RECOVER,,,,
1.4735,state,STAND,,,,
1.476,state,ANKLE_RECOVER,,,,
1.4765,state,STAND,,,,
1.479,state,ANKLE_RECOVER,,,,
1.48,state,STAND,,,,
1.4825,state,ANKLE_RECOVER,,,,
1.483,state,STAND,,,,
1.488,state,ANKLE_RECOVER,,,,
1.489,state,STAND,,,,
1.496,state,ANKLE_RECOVER,,,,
1.4965,state,STAND,,,,
1.4995,state,ANKLE_RECOVER,,,,
1.5,state,STAND,,,,
1.521,state,ANKLE_RECOVER,,,,
1.5215,state,STAND,,,,
1.5245,state,ANKLE_RECOVER,,,,
1.525,state,STAND,,,,
1.5275,state,ANKLE_RECOVER,,,,
1.528,state,STAND,,,,
1.5735,state,ANKLE_RECOVER,,,,
1.574,state,STAND,,,,
1.614,state,ANKLE_RECOVER,,,,
1.6145,state,STAND,,,,
1.619,state,ANKLE_RECOVER,,,,
1.6195,state,STAND,,,,
1.6265,state,ANKLE_RECOVER,,,,
1.627,state,STAND,,,,
1.636,state,ANKLE_RECOVER,,,,
1.6365,state,STAND,,,,
1.6395,state,ANKLE_RECOVER,,,,
1.6405,state,STAND,,,,
1.6615,state,ANKLE_RECOVER,,,,
1.662,state,STAND,,,,
1.6775,state,ANKLE_RECOVER,,,,
1.678,state,STAND,,,,
1.6995,state,ANKLE_RECOVER,,,,
1.7,state,STAND,,,,
1.712,state,ANKLE_RECOVER,,,,
1.7125,state,STAND,,,,
1.7265,state,ANKLE_RECOVER,,,,
1.727,state,STAND,,,,
1.7315,state,ANKLE_RECOVER,,,,
1.732,state,STAND,,,,
1.765,state,ANKLE_RECOVER,,,,
1.7655,state,STAND,,,,
1.767,state,ANKLE_RECOVER,,,,
1.768,state,STAND,,,,
1.7695,state,ANKLE_RECOVER,,,,
1.7705,state,STAND,,,,
