t,com_x,com_y,com_z,vel_x,vel_y,speed,cp_x,cp_y,cp_margin,roll,pitch,yaw,tilt,lf_x,lf_y,lf_z,rf_x,rf_y,rf_z,left_contact,right_contact,state
0.0,-0.008016700078825602,0.001530042687384429,0.23283827928205397,-0.009320955945148531,0.007072604670831019,0.011700510952999467,-0.00945269578788709,0.0026196551712292645,0.044405190910315126,0.001130733658308026,-7.152184411825706e-05,-0.00023658159686411993,0.001130733658308026,-0.015046471063045769,0.03700441160473133,0.03066193489643071,-0.015055160653382228,-0.03349554435577264,0.03058391915494746,0,0,WALK
0.005,-0.008060170044424494,0.0015624148731507859,0.23230360765487873,-0.0005442848343861634,0.005408450555934131,0.00543576888737251,-0.008143926773200858,0.002394688891633468,-0.009795251036338475,0.0012953469781062444,-0.00036927780026094854,-0.0012186101612115658,0.0012953469781062444,-0.015029982512169436,0.03709933506939439,0.030134886954260504,-0.015118404281690173,-0.03340056214470501,0.03004306864338184,0,1,WALK
0.01,-0.008089297174951049,0.0016447370051591646,0.23209483348361087,-0.03069546927565829,0.029064523297219355,0.04227243012351536,-0.012810715813272224,0.006115291951788776,0.04784238375197364,0.0008029772772465461,-0.0016360721179552763,-0.0010830580691590752,0.0016360721179552763,-0.014956108583630646,0.03710794233287882,0.03000636192478154,-0.01512673461547416,-0.03339199942228574,0.03001906757571733,1,1,WALK
0.015,-0.0082012108875002,0.0017884396149192609,0.23233306569897202,-0.01713661720139057,0.03424334791446716,0.03829191201152324,-0.010838429325329198,0.007058277146547023,0.04581156843783106,-6.561175790960176e-05,-0.001233371978694034,-0.0017993687105975974,0.001233371978694034,-0.015019959054712359,0.03710284261343705,0.0301008652672706,-0.01513912249904107,-0.03339697949495821,0.030097890019578286,0,0,WALK
0.02,-0.008306558833930031,0.0019397060792856107,0.23244122776315274,-0.018518550073065465,0.03418438843762294,0.038878131509409275,-0.011157111418220338,0.007201694540519354,0.04598269447340803,-0.0009861123180610837,-0.0011059417326651528,-0.00255559315284441,0.0011059417326651528,-0.015164643404424916,0.037090033937791395,0.030188579722851036,-0.015339289937052664,-0.0334097091014149,0.030251435206387137,0,0,WALK
0.025,-0.008404607808626952,0.0020898812041113906,0.23231887998590167,-0.007259470228883595,0.03263398203143734,0.03343167197781502,-0.009521760863630518,0.00711189404718332,-0.003975415529185945,-0.0018338666218659454,-0.0011069679653453574,-0.0037720929253461685,0.0018338666218659454,-0.01530140034161196,0.037087309576369264,0.03006325284572725,-0.015515937751652165,-0.033412290466267515,0.030160360240010287,1,0,WALK
0.03,-0.008430978464111878,0.002196871883217199,0.23226398145996338,-0.0005459480245630286,0.015329092749228244,0.015338811680178038,-0.008514983965531417,0.004555572830502853,0.043173682321476274,-0.0023561339559869414,-0.0014318155624873986,-0.004726274671407479,0.0023561339559869414,-0.015320867464292232,0.03710735210457208,0.030049523219050522,-0.015538523996417232,-0.03338943592552297,0.03011764682966206,1,1,WALK
0.035,-0.00841998868284917,0.0022508305120981223,0.2323232483681706,0.008722572336492776,0.00570793696761244,0.010424193618289413,-0.007077667598821989,0.0031292278291222752,-0.007988441084454238,-0.0026459450220088876,-0.0013221204056131305,-0.004692616087432452,0.0026459450220088876,-0.01533021794692676,0.03711766891357651,0.030073763549526122,-0.015578056293490766,-0.033381802958645346,0.030190318992870252,1,0,WALK
0.04,-0.00836781872121391,0.002259421008366572,0.23236812170867346,0.017816406825041785,-0.00422730868822979,0.0183110483288363,-0.005625778057302727,0.0016088155054803893,-0.00951272879245256,-0.0027346768306260416,-0.0009843341900628239,-0.004682208534137519,0.0027346768306260416,-0.015335609835218908,0.03712154429793295,0.030085979444404998,-0.015625704783849864,-0.033377682220002154,0.030245650169354904,1,0,WALK
0.045,-0.008275392722530075,0.0022237641495266107,0.23238955099849762,0.0250434882641534,-0.010848915818153584,0.027292403317886318,-0.004420887702619206,0.0005539807694884761,-0.01056426641064968,-0.002648601823096778,-0.0004612370646582417,-0.004711371747282626,0.002648601823096778,-0.015340691411770788,0.037118247180138154,0.030083199304641123,-0.015674541766779154,-0.03338070680529735,0.03027293909567269,1,0,WALK
