t,kind,detail,fx,fy,com_x,com_y
0.0,state,WALK,,,,
4.0,push,left 15N,0.0,15.0,0.2629288844942319,0.024821031588726564
6.4005,push,right 15N,0.0,-15.0,0.48903769752715004,0.017773272238858273
8.8005,push,backward 15N,-15.0,0.0,0.7115423431438954,0.018091929532747054
11.2,push,left 12N,0.0,12.0,0.9427430926507991,0.01527528629631755
